timestamp,plant,source,capacity_mw,output_mw,status
2025-01-01 00:00:00,Nalubaale,Hydro,180,107.57,Online
2025-01-01 01:00:00,Nalubaale,Hydro,180,111.4,Online
2025-01-01 02:00:00,Nalubaale,Hydro,180,107.64,Online
2025-01-01 03:00:00,Nalubaale,Hydro,180,106.42,Online
2025-01-01 04:00:00,Nalubaale,Hydro,180,112.6,Online
2025-01-01 05:00:00,Nalubaale,Hydro,180,108.33,Online
2025-01-01 06:00:00,Nalubaale,Hydro,180,110.42,Online
2025-01-01 07:00:00,Nalubaale,Hydro,180,109.97,Online
2025-01-01 08:00:00,Nalubaale,Hydro,180,94.61,Online
2025-01-01 09:00:00,Nalubaale,Hydro,180,106.59,Online
2025-01-01 10:00:00,Nalubaale,Hydro,180,102.3,Online
2025-01-01 11:00:00,Nalubaale,Hydro,180,103.37,Online
2025-01-01 12:00:00,Nalubaale,Hydro,180,113.22,Online
2025-01-01 13:00:00,Nalubaale,Hydro,180,105.31,Online
2025-01-01 14:00:00,Nalubaale,Hydro,180,115.01,Online
2025-01-01 15:00:00,Nalubaale,Hydro,180,100.9,Online
2025-01-01 16:00:00,Nalubaale,Hydro,180,102.28,Online
2025-01-01 17:00:00,Nalubaale,Hydro,180,110.18,Online
2025-01-01 18:00:00,Nalubaale,Hydro,180,105.46,Online
2025-01-01 19:00:00,Nalubaale,Hydro,180,108.23,Online
2025-01-01 20:00:00,Nalubaale,Hydro,180,106.44,Online
2025-01-01 21:00:00,Nalubaale,Hydro,180,106.31,Online
2025-01-01 22:00:00,Nalubaale,Hydro,180,105.61,Online
2025-01-01 23:00:00,Nalubaale,Hydro,180,107.68,Online
2025-01-02 00:00:00,Nalubaale,Hydro,180,109.73,Online
2025-01-02 01:00:00,Nalubaale,Hydro,180,113.89,Online
2025-01-02 02:00:00,Nalubaale,Hydro,180,106.11,Online
2025-01-02 03:00:00,Nalubaale,Hydro,180,105.3,Online
2025-01-02 04:00:00,Nalubaale,Hydro,180,104.74,Online
2025-01-02 05:00:00,Nalubaale,Hydro,180,113.27,Online
2025-01-02 06:00:00,Nalubaale,Hydro,180,109.93,Online
2025-01-02 07:00:00,Nalubaale,Hydro,180,98.85,Online
2025-01-02 08:00:00,Nalubaale,Hydro,180,98.67,Online
2025-01-02 09:00:00,Nalubaale,Hydro,180,103.43,Online
2025-01-02 10:00:00,Nalubaale,Hydro,180,107.96,Online
2025-01-02 11:00:00,Nalubaale,Hydro,180,106.84,Online
2025-01-02 12:00:00,Nalubaale,Hydro,180,109.18,Online
2025-01-02 13:00:00,Nalubaale,Hydro,180,106.23,Online
2025-01-02 14:00:00,Nalubaale,Hydro,180,112.96,Online
2025-01-02 15:00:00,Nalubaale,Hydro,180,110.28,Online
2025-01-02 16:00:00,Nalubaale,Hydro,180,107.31,Online
2025-01-02 17:00:00,Nalubaale,Hydro,180,111.88,Online
2025-01-02 18:00:00,Nalubaale,Hydro,180,99.92,Online
2025-01-02 19:00:00,Nalubaale,Hydro,180,106.62,Online
2025-01-02 20:00:00,Nalubaale,Hydro,180,107.57,Online
2025-01-02 21:00:00,Nalubaale,Hydro,180,109.56,Online
2025-01-02 22:00:00,Nalubaale,Hydro,180,99.64,Online
2025-01-02 23:00:00,Nalubaale,Hydro,180,105.87,Online
2025-01-03 00:00:00,Nalubaale,Hydro,180,108.81,Online
2025-01-03 01:00:00,Nalubaale,Hydro,180,109.14,Online
2025-01-03 02:00:00,Nalubaale,Hydro,180,112.17,Online
2025-01-03 03:00:00,Nalubaale,Hydro,180,110.36,Online
2025-01-03 04:00:00,Nalubaale,Hydro,180,106.83,Online
2025-01-03 05:00:00,Nalubaale,Hydro,180,109.98,Online
2025-01-03 06:00:00,Nalubaale,Hydro,180,106.23,Online
2025-01-03 07:00:00,Nalubaale,Hydro,180,107.72,Online
2025-01-03 08:00:00,Nalubaale,Hydro,180,110.5,Online
2025-01-03 09:00:00,Nalubaale,Hydro,180,106.9,Online
2025-01-03 10:00:00,Nalubaale,Hydro,180,108.64,Online
2025-01-03 11:00:00,Nalubaale,Hydro,180,111.21,Online
2025-01-03 12:00:00,Nalubaale,Hydro,180,110.14,Online
2025-01-03 13:00:00,Nalubaale,Hydro,180,112.38,Online
2025-01-03 14:00:00,Nalubaale,Hydro,180,117.07,Online
2025-01-03 15:00:00,Nalubaale,Hydro,180,110.1,Online
2025-01-03 16:00:00,Nalubaale,Hydro,180,105.12,Online
