timestamp,region,lat,lon,demand_mw,transmission_loss_pct,frequency_hz
2025-01-01 00:00:00,Kampala Metro,0.3476,32.5825,237.72,6.75,49.983
2025-01-01 01:00:00,Kampala Metro,0.3476,32.5825,216.8,6.9,50.019
2025-01-01 02:00:00,Kampala Metro,0.3476,32.5825,199.41,7.72,50.009
2025-01-01 03:00:00,Kampala Metro,0.3476,32.5825,192.83,7.11,50.011
2025-01-01 04:00:00,Kampala Metro,0.3476,32.5825,206.03,7.55,50.021
2025-01-01 05:00:00,Kampala Metro,0.3476,32.5825,223.65,7.35,49.977
2025-01-01 06:00:00,Kampala Metro,0.3476,32.5825,276.95,6.67,49.976
2025-01-01 07:00:00,Kampala Metro,0.3476,32.5825,325.57,5.66,50.028
2025-01-01 08:00:00,Kampala Metro,0.3476,32.5825,369.99,8.65,49.992
2025-01-01 09:00:00,Kampala Metro,0.3476,32.5825,351.7,7.89,49.963
2025-01-01 10:00:00,Kampala Metro,0.3476,32.5825,346.33,8.56,49.995
2025-01-01 11:00:00,Kampala Metro,0.3476,32.5825,306.07,6.77,49.997
2025-01-01 12:00:00,Kampala Metro,0.3476,32.5825,316.31,7.61,50.006
2025-01-01 13:00:00,Kampala Metro,0.3476,32.5825,333.27,6.66,49.99
2025-01-01 14:00:00,Kampala Metro,0.3476,32.5825,302.33,7.93,50.043
2025-01-01 15:00:00,Kampala Metro,0.3476,32.5825,304.38,8.85,49.977
2025-01-01 16:00:00,Kampala Metro,0.3476,32.5825,308.12,8.8,49.951
2025-01-01 17:00:00,Kampala Metro,0.3476,32.5825,317.46,7.32,49.963
2025-01-01 18:00:00,Kampala Metro,0.3476,32.5825,359.26,8.02,49.981
2025-01-01 19:00:00,Kampala Metro,0.3476,32.5825,363.94,7.8,50.012
2025-01-01 20:00:00,Kampala Metro,0.3476,32.5825,372.22,7.42,49.994
2025-01-01 21:00:00,Kampala Metro,0.3476,32.5825,384.88,7.71,50.008
2025-01-01 22:00:00,Kampala Metro,0.3476,32.5825,313.93,6.51,49.983
2025-01-01 23:00:00,Kampala Metro,0.3476,32.5825,275.25,5.74,50.01
2025-01-02 00:00:00,Kampala Metro,0.3476,32.5825,231.35,7.73,49.96
2025-01-02 01:00:00,Kampala Metro,0.3476,32.5825,199.46,6.2,50.004
2025-01-02 02:00:00,Kampala Metro,0.3476,32.5825,206.47,6.45,50.014
2025-01-02 03:00:00,Kampala Metro,0.3476,32.5825,193.38,6.86,49.976
2025-01-02 04:00:00,Kampala Metro,0.3476,32.5825,214.15,8.8,50.042
2025-01-02 05:00:00,Kampala Metro,0.3476,32.5825,237.06,7.23,49.953
2025-01-02 06:00:00,Kampala Metro,0.3476,32.5825,283.78,6.42,50.017
2025-01-02 07:00:00,Kampala Metro,0.3476,32.5825,333.01,6.07,50.02
2025-01-02 08:00:00,Kampala Metro,0.3476,32.5825,375.57,7.12,49.978
2025-01-02 09:00:00,Kampala Metro,0.3476,32.5825,346.36,7.08,50.007
2025-01-02 10:00:00,Kampala Metro,0.3476,32.5825,305.04,6.13,49.978
2025-01-02 11:00:00,Kampala Metro,0.3476,32.5825,321.8,7.43,50.007
2025-01-02 12:00:00,Kampala Metro,0.3476,32.5825,319.85,5.66,49.994
2025-01-02 13:00:00,Kampala Metro,0.3476,32.5825,320.52,6.22,49.999
2025-01-02 14:00:00,Kampala Metro,0.3476,32.5825,310.72,8.66,49.985
2025-01-02 15:00:00,Kampala Metro,0.3476,32.5825,303.97,6.13,49.985
2025-01-02 16:00:00,Kampala Metro,0.3476,32.5825,314.53,7.16,49.98
2025-01-02 17:00:00,Kampala Metro,0.3476,32.5825,345.97,7.68,50.015
2025-01-02 18:00:00,Kampala Metro,0.3476,32.5825,382.39,9.12,49.877
2025-01-02 19:00:00,Kampala Metro,0.3476,32.5825,369.58,8.82,50.056
2025-01-02 20:00:00,Kampala Metro,0.3476,32.5825,393.82,7.95,50.023
2025-01-02 21:00:00,Kampala Metro,0.3476,32.5825,347.24,6.22,49.999
2025-01-02 22:00:00,Kampala Metro,0.3476,32.5825,293.43,6.34,50.024
2025-01-02 23:00:00,Kampala Metro,0.3476,32.5825,249.4,6.82,50.008
2025-01-03 00:00:00,Kampala Metro,0.3476,32.5825,235.82,9.75,49.991
2025-01-03 01:00:00,Kampala Metro,0.3476,32.5825,218.44,7.81,50.049
2025-01-03 02:00:00,Kampala Metro,0.3476,32.5825,201.21,7.26,50.024
2025-01-03 03:00:00,Kampala Metro,0.3476,32.5825,207.99,7.5,49.981
2025-01-03 04:00:00,Kampala Metro,0.3476,32.5825,211.22,8.68,50.024
2025-01-03 05:00:00,Kampala Metro,0.3476,32.5825,214.17,6.71,50.014
2025-01-03 06:00:00,Kampala Metro,0.3476,32.5825,274.14,7.39,49.976
2025-01-03 07:00:00,Kampala Metro,0.3476,32.5825,335.07,7.09,50.002
2025-01-03 08:00:00,Kampala Metro,0.3476,32.5825,347.24,6.59,49.998
2025-01-03 09:00:00,Kampala Metro,0.3476,32.5825,368.37,7.06,49.935
